timestamp,multiplicador,low_streak,target_tragedy,rolling_mean_20,rolling_std_20,rolling_mean_30,rolling_std_30,rolling_mean_50,rolling_std_50,rolling_mean_100,rolling_std_100,rolling_mean_250,rolling_std_250,high_streak,clima_preditivo
2025-10-24 17:10:20.635759,1.0,4,0,5.6035,7.939246467624284,4.789666666666666,7.001675899547106,4.6774000000000004,6.784496374914202,3.8540000000000005,5.05206328487123,4.73344,13.678937498605768,0,Normal
2025-10-24 17:10:38.460047,1.19,5,0,5.5805,7.952537148939552,4.784999999999999,7.004238495122196,4.6476,6.797560054451671,3.8376000000000006,5.058701498258747,4.73104,13.679542097834476,0,Normal
2025-10-24 17:11:00.589140,1.84,6,0,5.5225,7.981515404852339,4.739999999999999,7.023469522816409,4.6194,6.809142836162622,3.8205,5.0647894000310725,4.73056,13.67966472521814,0,Normal
2025-10-24 17:11:17.045648,1.14,7,0,4.1835,5.869614239095269,4.734333333333334,7.025816277687313,4.4644,6.78183924243295,3.7634,5.054495193050054,4.733280000000001,13.679019509473704,0,Normal
2025-10-24 17:11:43.299685,5.44,0,0,2.9285,2.770789883579741,4.684,7.046641459735899,4.441599999999999,6.791242668289161,3.7558,5.057895553918041,4.73136,13.679491925791366,1,Normal
2025-10-24 17:13:05.466273,84.85,0,0,2.825,2.625497446600497,4.333666666666667,6.720956152899328,4.5214,6.778803401118804,3.7847999999999997,5.0591677919866616,4.747319999999999,13.677975657602255,2,Normal
2025-10-24 17:13:31.362075,3.57,0,0,7.017,18.502234032962797,7.114333333333333,16.13782420990776,6.193599999999999,13.212363066307171,4.6169,9.551376303069036,5.0702,14.585940153471169,3,Normal
2025-10-24 17:13:46.235259,1.06,1,0,7.1385000000000005,18.469559671894853,7.169666666666666,16.12220261398661,6.182799999999999,13.214321550530538,4.5975,9.551514172098495,5.07736,14.58475785459287,0,Normal
2025-10-24 17:14:07.138544,1.58,2,0,6.831,18.519434997633688,7.1546666666666665,16.127858256880327,6.075,13.234067856891766,4.5669,9.557958838665114,5.0776,14.584690983505181,0,Normal
2025-10-24 17:14:20.533140,1.03,3,0,6.8595,18.510441854034156,7.171666666666667,16.12149092175503,6.0042,13.248742272227876,4.5669,9.557958838665114,5.012239999999999,14.563505517361431,0,Normal
2025-10-24 17:14:33.359013,1.0,4,0,6.776000000000001,18.53394450588889,7.159000000000001,16.126322527962227,5.9967999999999995,13.251469451055018,4.5231,9.564090107577353,5.00052,14.565534528950739,0,Normal
2025-10-24 17:14:56.949584,2.25,0,0,6.773000000000001,18.53492325314568,7.143666666666666,16.13214578012684,5.813399999999999,13.255989267851238,4.5121,9.567537104841856,5.000319999999999,14.565589334739363,1,Normal
2025-10-24 17:15:17.902044,1.56,1,0,6.528500000000001,18.562060138329148,7.140333333333333,16.13318073334309,5.826999999999999,13.251895089736681,4.5202,9.565252559407563,4.99788,14.566000404253284,0,Normal
2025-10-24 17:15:56.247701,9.36,0,0,6.5525,18.554953622883808,6.238333333333333,15.639761459362067,5.8214,13.253673346799856,4.4875,9.569771154499744,4.996959999999999,14.566211092137957,1,Normal
2025-10-24 17:16:16.052859,1.4,1,0,6.914,18.534675440487515,5.675666666666666,15.192605207419357,5.9848,13.245769326891658,4.5336,9.582144223460233,5.02496,14.567849627500891,0,Normal
2025-10-24 17:16:53.027850,9.02,0,0,6.6235,18.575278499010185,5.4719999999999995,15.208113170505293,5.983199999999999,13.246329401469838,4.5371,9.580922784577737,5.010759999999999,14.569653056374833,1,Normal
2025-10-24 17:17:20.440422,3.83,0,0,7.022500000000001,18.53469318105347,5.739,15.19738483628249,6.1248000000000005,13.240066779534384,4.617,9.584695449970608,5.04072,14.570167666327647,2,Normal
2025-10-24 17:17:35.064428,1.07,1,0,6.787000000000001,18.544317075305692,5.828666666666666,15.17723675121064,6.1655999999999995,13.229575272001382,4.6373,9.580817836392768,5.0493999999999994,14.568791865686832,0,Normal
2025-10-24 17:17:54.170756,1.57,2,0,6.745,18.556891045192845,5.623999999999999,15.199350167597343,6.151599999999999,13.234691173162258,4.637899999999999,9.580590257748689,5.04216,14.570323946089047,0,Normal
2025-10-24 17:18:09.416019,1.09,3,0,6.742,18.557766312956858,5.642666666666667,15.193831083321474,6.153599999999999,13.233976797529548,4.6078,9.58550110712778,5.04148,14.570482643600721,0,Normal
2025-10-24 17:19:23.136853,68.76,0,0,6.7425,18.557605867307245,5.5889999999999995,15.207420681795563,5.5708,12.786115850038732,4.6080000000000005,9.58542675422469,5.02484,14.572618826148195,1,Normal
2025-10-24 17:19:44.703205,1.59,1,0,10.130500000000001,23.08671649854546,7.845666666666667,19.049835492697845,6.9232,15.578993501847663,5.277699999999999,11.52899216380737,5.2828800000000005,15.119718730304943,0,Normal
2025-10-24 17:20:04.861165,1.5,2,0,10.150500000000001,23.07873559315908,7.660666666666667,19.083843488638514,6.9041999999999994,15.585026446783406,5.2469,11.534744763434352,5.28404,15.11942305421637,0,Normal
2025-10-24 17:20:33.668086,4.72,0,0,10.133500000000002,23.085303658388394,7.674666666666667,19.07900285353135,6.894,15.588461457509023,5.174099999999999,11.535194200464275,5.281599999999999,15.119986554678368,1,Normal
2025-10-24 17:20:52.717069,1.57,1,0,10.3125,23.025701629403528,7.760999999999999,19.058897162073222,6.9354,15.57970647728534,5.2072,11.529031434521386,5.29148,15.118804582957962,0,Normal
2025-10-24 17:21:20.576521,4.0,0,0,10.119,23.08498826419228,7.5729999999999995,19.092307378483167,6.6478,15.54258420059716,5.2066,11.529221041257829,5.27896,15.120592242284351,1,Normal
2025-10-24 17:21:45.496667,2.74,0,0,6.076500000000001,14.95836441769728,7.671666666666666,19.065010392453704,6.699199999999999,15.5292203623113,5.2248,11.525831022866733,5.278839999999999,15.120602313123857,2,Normal
2025-10-24 17:22:12.075057,3.52,0,0,6.035000000000002,14.966833332405372,7.4783333333333335,19.085298563668523,6.715800000000001,15.524439335894774,5.2093,11.528142837544507,5.283799999999999,15.119561107131684,3,Normal
2025-10-24 17:22:24.979623,1.01,1,0,6.158000000000001,14.933868113858036,7.531999999999999,19.071359353391852,6.755999999999999,15.513282393234654,5.183199999999999,11.528991815541753,5.29148,15.11816997068926,0,Normal
2025-10-24 17:22:59.460417,7.54,0,0,6.129500000000002,14.943605382975882,7.511333333333334,19.07831025795656,6.7547999999999995,15.513733512929873,5.1764,11.531273289484043,5.29048,15.11844597185888,1,Normal
2025-10-24 17:23:16.073561,1.18,1,0,6.455000000000001,14.897511448843446,7.726666666666666,19.0396351264179,6.8774,15.494843488551062,5.180700000000001,11.532081755089195,5.3124,15.117716004369012,0,Normal
2025-10-24 17:23:40.846942,2.6,0,0,6.464000000000001,14.894096463823669,7.732666666666666,19.03747048057726,6.8717999999999995,15.496891813442799,5.1752,11.53387513878888,5.29312,15.119908943224676,1,Normal
2025-10-24 17:23:53.893164,1.01,1,0,6.481500000000001,14.889089355702911,7.7796666666666665,19.0224954821342,6.8768,15.495443364461176,5.188400000000001,11.530126960149753,5.28508,15.120808031839532,0,Normal
2025-10-24 17:24:31.983071,9.48,0,0,6.454000000000001,14.899162251263464,7.751999999999999,19.03203332315791,6.3246,15.193806365672508,5.125,11.535550452510913,5.28316,15.1213223221211,1,Normal
2025-10-24 17:24:48.076242,7.11,0,0,6.460000000000001,14.900418220905587,8.03,18.99299271873164,5.9894,14.928025473270457,5.181,11.543035812020001,5.3022800000000005,15.123603828872625,2,Normal
2025-10-24 17:25:12.797637,2.87,0,0,6.745500000000002,14.85299100659883,8.085666666666667,18.987586449978373,5.9814,14.927301109315195,5.2325,11.540008085619442,5.322439999999999,15.122637013675542,3,Normal
2025-10-24 17:25:39.493369,3.61,0,0,6.438000000000001,14.867078642706561,5.353,12.269588181268803,6.0186,14.916973212979036,5.220700000000001,11.541832588677199,5.328480000000001,15.121349547515676,4,Normal
2025-10-24 17:25:55.532870,1.12,1,0,6.427000000000001,14.869191072748215,5.354333333333334,12.26938991354398,6.0680000000000005,14.904571959842452,5.2321,11.539651036773407,5.33552,15.12013322841369,0,Normal
2025-10-24 17:26:17.906059,1.84,2,0,6.4295,14.86824715361744,5.356333333333334,12.268670636845801,5.9462,14.919924890383774,5.219799999999999,11.543408979529719,5.33548,15.120144411934394,0,Normal
2025-10-24 17:26:34.021879,1.13,3,0,6.4430000000000005,14.86372451022253,5.364999999999999,12.266002566668462,5.9628,14.91478160642476,5.2208,11.543108808709093,5.3357600000000005,15.120078767989297,0,Normal
2025-10-24 17:27:01.562463,4.05,0,0,6.445000000000002,14.862968995743131,5.368333333333334,12.264797419734517,5.9314,14.923441088380613,5.2204999999999995,11.543215802392613,5.335919999999999,15.12003387068304,1,Normal
2025-10-24 17:27:30.331958,4.6,0,0,3.2095000000000007,2.411122199963825,5.47,12.239954360969682,5.9912,14.909506574186608,5.2381,11.54004382595885,5.333240000000001,15.120202857110105,2,Normal
2025-10-24 17:27:47.603809,1.19,1,0,3.3600000000000008,2.3986224116531365,5.548333333333333,12.226148372361124,5.9404,14.909839643808414,5.269499999999999,11.53393021533084,5.32864,15.120250488989893,0,Normal
2025-10-24 17:29:38.462842,171.82,0,0,3.344500000000001,2.412237386852052,5.536,12.23049625406466,5.9426,14.909115936231746,5.226,11.541100467459787,5.2626800000000005,15.102109789628463,1,Normal
2025-10-24 17:29:58.686810,1.51,1,0,11.6995,37.76418555011028,10.951333333333332,32.74453718412125,9.3364,27.780732991608048,6.8877,20.26684593496274,5.93256,18.41279014189969,0,Normal
2025-10-24 17:30:16.249841,1.19,2,0,11.6965,37.765034966919224,10.955000000000002,32.743436904894814,9.2224,27.80132441126515,6.890600000000001,20.2660474795764,5.92764,18.413810940808947,0,Normal
2025-10-24 17:30:35.868833,1.45,3,0,11.556000000000001,37.80038643634272,10.693999999999999,32.79056556915156,9.2254,27.80043151992208,6.8862,20.267248884180947,5.92452,18.41455027462977,0,Normal
2025-10-24 17:31:14.726508,9.53,0,0,11.4915,37.81731798709214,10.614666666666666,32.81061789172495,9.0836,27.822072192078434,6.8882,20.266696938773258,5.92296,18.414914202862715,1,Normal
2025-10-24 17:31:36.937111,1.88,1,0,11.792000000000002,37.77449565653079,10.896666666666667,32.762074829388276,9.235999999999999,27.802838938878597,6.973400000000001,20.25964328163234,5.956440000000001,18.413828609570864,0,Normal
2025-10-24 17:32:00.075778,1.84,2,0,11.8355,37.76192477740955,10.907,32.75908046265372,9.241,27.8014656235301,6.9753,20.259151689590034,5.956759999999999,18.413756782846654,0,Normal
2025-10-24 17:32:22.412654,1.82,3,0,11.550500000000001,37.81751925886648,10.931999999999999,32.75161563795826,9.2562,27.797120089414037,6.966800000000001,20.261146022409854,5.95472,18.414186214366065,0,Normal
2025-10-24 17:32:39.733861,1.2,4,0,11.5825,37.80855192524848,8.700666666666667,30.904171678374375,9.2726,27.792391104511353,6.9601,20.26275208879884,5.9483999999999995,18.41533765325887,0,Normal
2025-10-24 17:33:03.205031,1.99,5,0,11.5125,37.827349041749095,8.687666666666667,30.907347824428903,9.2728,27.792331789285218,6.9461,20.26627835029702,5.94004,18.417023653113908,0,Normal
2025-10-24 17:33:21.689527,1.3,6,0,11.5615,37.81366075556349,8.704,30.90354768162298,9.275799999999998,27.79152117727524,6.8701,20.270513216258376,5.9386,18.417319551930227,0,Normal
2025-10-24 17:33:38.986556,1.21,7,0,11.1525,37.88153693805828,8.59,30.925051556838245,9.279,27.790574473944147,6.8603,20.272991509828447,5.939,18.417217308092276,0,Normal
2025-10-24 17:34:01.467100,1.78,8,0,10.8575,37.93760596100697,8.578,30.927939204678285,9.1944,27.80893206676367,6.8579,20.27365266830701,5.939640000000001,18.41704951183237,0,Normal
2025-10-24 17:34:31.498621,5.18,0,0,10.803,37.950465235342605,8.504,30.941923195471915,7.533,25.589654099631254,6.863299999999999,20.27221305958809,5.93792,18.41741930371449,1,Normal
2025-10-24 17:34:54.051111,1.89,1,0,10.881499999999999,37.936424695590524,8.585333333333333,30.929453960567276,7.5652,25.58557822728439,6.8740000000000006,20.27102749136205,5.95408,18.41496480225452,0,Normal
2025-10-24 17:35:10.263006,1.15,2,0,10.920000000000002,37.92638617665876,8.531,30.94008886486135,7.581799999999999,25.581540434062823,6.8284,20.277118901596833,5.87552,18.39012588455552,0,Normal
2025-10-24 17:35:33.939116,1.93,3,0,10.8855,37.93539334391954,8.535666666666666,30.938925898407117,7.573199999999999,25.58367148581057,6.7887,20.284382590574666,5.87408,18.390483181258737,0,Normal
2025-10-24 17:35:48.997416,7.11,0,0,10.9255,37.92498585851314,8.348666666666666,30.962096598052376,7.5912,25.579290143491026,6.794,20.28302957866229,5.877,18.3897960018036,1,Normal
2025-10-24 17:36:25.824692,8.42,0,0,11.078500000000002,37.90195374425412,8.546333333333333,30.933668576636617,7.7134,25.5617480167822,6.763399999999999,20.280192965232633,5.900399999999999,18.3876193025214,2,Normal
2025-10-24 17:36:45.917949,1.47,1,0,11.2695,37.877205264963926,8.740333333333332,30.91333363512874,7.8368,25.54972514249698,6.831900000000001,20.274041754934032,5.9266000000000005,18.386519858036202,0,Normal
2025-10-24 17:37:03.164103,1.22,2,0,11.2835,37.87333519356608,8.755666666666666,30.90948093399816,7.835,25.550179539286905,6.828199999999999,20.274995715726494,5.90848,18.388679272616738,0,Normal
2025-10-24 17:37:21.116950,1.25,3,0,2.7535000000000016,2.5903571690325644,8.480333333333332,30.939580551659777,7.6722,25.566192384092073,6.8285,20.274911668902988,5.90488,18.389512010751513,0,Normal
2025-10-24 17:37:38.466057,1.2,4,0,2.7405000000000017,2.597568650630306,8.285,30.96701635166259,7.669200000000001,25.566952189201146,6.8262,20.27553757112201,5.90288,18.3899928835939,0,Normal
2025-10-24 17:38:01.640198,2.0,0,0,2.741000000000001,2.5972554340060956,8.229333333333333,30.978584920524714,7.5127999999999995,25.58243418712877,6.8187999999999995,20.27747385697248,5.902399999999999,18.390114548103536,1,Normal
2025-10-24 17:38:43.517361,1.28,1,0,2.7685000000000013,2.5857530207293644,8.175666666666666,30.988256361061215,7.4762,25.58911877245912,6.8209,20.2769586653712,5.902559999999999,18.390080284159477,0,Normal
2025-10-24 17:38:59.511757,1.12,2,0,2.356000000000001,2.053634518808694,8.181000000000001,30.98701389291973,7.4803999999999995,25.588063062008143,6.816,20.27825072646191,5.902399999999999,18.390120488084488,0,Normal
2025-10-24 17:39:54.798195,52.08,0,0,2.3180000000000014,2.0698731209527352,8.157,30.9923728270082,7.4714,25.59026337560152,6.8125,20.279212941464294,5.899400000000001,18.390842099602995,1,Normal
2025-10-24 17:40:17.116197,1.74,1,0,4.830000000000001,11.311913607948245,9.855333333333332,31.97445593976039,8.4912,26.33590810421142,7.030999999999999,20.648426530411914,6.101439999999999,18.61912091860209,0,Normal
2025-10-24 17:40:39.547786,1.8,2,0,4.826000000000001,11.313048079191821,9.778333333333332,31.99169505197952,7.150799999999999,24.87062014276511,7.036999999999999,20.64678454678143,6.09668,18.620087044473635,0,Normal
2025-10-24 17:41:12.857689,7.06,0,0,4.856000000000002,11.303718251787327,9.685,32.011401713376635,7.155,24.869679617673278,7.0296,20.64854513034757,6.06412,18.62045643417119,1,Normal
2025-10-24 17:41:48.965178,1.55,1,0,5.1095000000000015,11.292907170805114,9.880666666666666,31.975606212293744,7.2662,24.856304985057683,7.0801,20.64231916219541,6.08756,18.617996951561494,0,Normal
2025-10-24 17:42:12.852418,2.07,0,0,5.122000000000002,11.28860608615703,4.205,9.339199829122212,7.2028,24.866972526068473,7.069100000000001,20.64499665925394,6.07684,18.6198422689043,1,Normal
2025-10-24 17:42:26.427586,1.03,1,0,5.165000000000002,11.274549588389467,4.2236666666666665,9.33418577182761,7.2128,24.864761561499105,6.9303,20.631340015088263,6.06832,18.621191785480494,0,Normal
2025-10-24 17:43:01.149817,7.77,0,0,5.127500000000001,11.287640597713871,4.218333333333333,9.336024437567152,7.1533999999999995,24.876138276489375,6.926299999999999,20.632455929599583,6.0542,18.623678292231368,1,Normal
2025-10-24 17:43:24.731646,2.0,0,0,5.2570000000000014,11.303121180499353,4.429,9.342705932326647,7.254,24.868095534443395,6.9849,20.626385646505888,6.08112,18.621265155988688,2,Normal
2025-10-24 17:43:50.691157,5.24,0,0,5.262500000000001,11.301423233613704,4.178,9.301998821165588,7.2236,24.873681752373667,6.9898,20.625130056767794,6.08312,18.620797994107267,3,Normal
2025-10-24 17:44:30.452746,10.57,0,0,5.467000000000001,11.260019210977369,4.29,9.293599948351579,7.3082,24.85930620224833,7.031500000000001,20.61725443786238,6.087680000000001,18.620449985115627,4,Normal
2025-10-24 17:44:48.362181,1.25,1,0,5.899000000000002,11.282894318858382,4.581,9.350741202411882,7.3688,24.863575574871497,7.123099999999999,20.612374320815505,5.67768,17.339790771332105,0,Normal
